"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 01 05:20:09 GMT 2022","Sun May 01 05:20:09 GMT 2022","132","tests_vkr.generator","test_split_campaign","","","","test_split_campaign_crm[1-8000-8764-50.5-01.01.2000-01.01.2022]","сделать более гибкое количество рекламных компаний"
"passed","Sun May 01 05:20:46 GMT 2022","Sun May 01 05:20:46 GMT 2022","1","tests_vkr.basic_functionality","test_random_ints","","","","test_random_ints[10-780]",""
"passed","Sun May 01 05:20:46 GMT 2022","Sun May 01 05:20:46 GMT 2022","0","tests_vkr.basic_functionality","test_random_floats","","","","test_random_floats[12.23-49]",""
"passed","Sun May 01 05:20:46 GMT 2022","Sun May 01 05:20:46 GMT 2022","3","tests_vkr.basic_functionality","test_random_floats","","","","test_random_floats[10000-1010]",""
"passed","Sun May 01 05:20:00 GMT 2022","Sun May 01 05:20:00 GMT 2022","56","tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[1-01.01.2000-01.01.2022]",""
"passed","Sun May 01 05:20:14 GMT 2022","Sun May 01 05:20:14 GMT 2022","94","tests_vkr.generator","test_split_campaign","","","","test_split_campaign_crm[1-1-0.1-1-01.01.2000-01.01.2022]","сделать более гибкое количество рекламных компаний"
"passed","Sun May 01 05:20:46 GMT 2022","Sun May 01 05:20:46 GMT 2022","0","tests_vkr.basic_functionality","test_random_ints","","","","test_random_ints[1-780]",""
"passed","Sun May 01 05:20:34 GMT 2022","Sun May 01 05:20:34 GMT 2022","29","tests_vkr.generator","test_trivial_crm","","","","test_trivial_crm[11-25.05.2010-25.11.2010]",""
"passed","Sun May 01 05:20:00 GMT 2022","Sun May 01 05:20:00 GMT 2022","2","tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[1-24.05.2010-25.11.2010]",""
"passed","Sun May 01 05:19:59 GMT 2022","Sun May 01 05:19:59 GMT 2022","26","tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[1200-01.01.2000-24.10.2010]",""
"failed","Sun May 01 05:20:46 GMT 2022","Sun May 01 05:20:46 GMT 2022","3","tests_vkr.visualization","test_distribution","","","","test_create_adv_compaign[8000-30.01.2010-01.01.2010]","draw a distribution schedule as part of an advertising campaign"
"passed","Sun May 01 05:20:07 GMT 2022","Sun May 01 05:20:07 GMT 2022","135","tests_vkr.generator","test_split_campaign","","","","test_split_campaign_crm[8000-1-50.5-1-01.01.2000-01.01.2022]","сделать более гибкое количество рекламных компаний"
"passed","Sun May 01 05:20:07 GMT 2022","Sun May 01 05:20:07 GMT 2022","132","tests_vkr.generator","test_split_campaign","","","","test_split_campaign_crm[8000-1-50.5-50.5-01.01.2000-01.01.2022]","сделать более гибкое количество рекламных компаний"
"passed","Sun May 01 05:20:46 GMT 2022","Sun May 01 05:20:46 GMT 2022","0","tests_vkr.basic_functionality","test_random_floats","","","","test_random_floats[12.23-40]",""
"passed","Sun May 01 05:20:30 GMT 2022","Sun May 01 05:20:32 GMT 2022","1329","tests_vkr.generator","test_trivial_crm","","","","test_trivial_crm[20-01.01.2000-01.01.2022]",""
