"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 18 17:05:15 GMT 2022","Wed May 18 17:05:15 GMT 2022","129","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-5432-7777-25.10.2010-30.11.2010]",""
"passed","Wed May 18 17:05:05 GMT 2022","Wed May 18 17:05:05 GMT 2022","2","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[123-24.05.2010-25.11.2010]",""
"passed","Wed May 18 17:06:22 GMT 2022","Wed May 18 17:06:24 GMT 2022","1883","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[10-01.10.2010-10.10.2010]",""
"passed","Wed May 18 17:07:03 GMT 2022","Wed May 18 17:07:04 GMT 2022","1348","apps.home.tests_vkr.generator","test_trivial_crm","","","","test_trivial_crm[49-01.01.2000-24.10.2010]",""
"passed","Wed May 18 17:08:07 GMT 2022","Wed May 18 17:08:07 GMT 2022","1","apps.home.tests_vkr.core","test_agregate","","","","test_agregate[123-24.05.2010-24.10.2010]",""
"passed","Wed May 18 17:05:20 GMT 2022","Wed May 18 17:05:20 GMT 2022","454","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[2-01.10.2010-01.01.2022]",""
"passed","Wed May 18 17:06:24 GMT 2022","Wed May 18 17:06:26 GMT 2022","1270","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[10-01.10.2010-25.11.2010]",""
"passed","Wed May 18 17:09:37 GMT 2022","Wed May 18 17:09:37 GMT 2022","29","apps.home.tests_vkr.core","test_slyce_by_day","","","","test_slyce_by_day[10000000000-24.05.2010-01.01.2022]",""
"passed","Wed May 18 17:05:05 GMT 2022","Wed May 18 17:05:05 GMT 2022","238","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-9999-999.99-25.10.2010-30.11.2010]",""
"passed","Wed May 18 17:05:19 GMT 2022","Wed May 18 17:05:19 GMT 2022","625","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[1-01.01.2000-01.01.2022]",""
"passed","Wed May 18 17:05:05 GMT 2022","Wed May 18 17:05:05 GMT 2022","26","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[123-01.01.2000-24.10.2010]",""
"passed","Wed May 18 17:05:42 GMT 2022","Wed May 18 17:05:43 GMT 2022","961","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[6-25.05.2010-01.01.2022]",""
"passed","Wed May 18 17:05:54 GMT 2022","Wed May 18 17:05:56 GMT 2022","1885","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[7-01.01.2000-01.01.2022]",""
"passed","Wed May 18 17:07:06 GMT 2022","Wed May 18 17:07:08 GMT 2022","2805","apps.home.tests_vkr.generator","test_trivial_crm","","","","test_trivial_crm[49-01.01.2000-01.01.2022]",""
"passed","Wed May 18 17:05:24 GMT 2022","Wed May 18 17:05:24 GMT 2022","88","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[3-25.05.2010-25.11.2010]",""
"passed","Wed May 18 17:05:04 GMT 2022","Wed May 18 17:05:04 GMT 2022","27","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[3000-25.05.2010-01.01.2022]",""
"passed","Wed May 18 17:05:04 GMT 2022","Wed May 18 17:05:04 GMT 2022","1","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[10000000000-24.05.2010-25.11.2010]",""
"passed","Wed May 18 17:05:28 GMT 2022","Wed May 18 17:05:29 GMT 2022","690","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[4-25.05.2010-25.11.2010]",""
"passed","Wed May 18 17:05:03 GMT 2022","Wed May 18 17:05:03 GMT 2022","1","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[1200-25.05.2010-24.10.2010]",""
"passed","Wed May 18 17:07:09 GMT 2022","Wed May 18 17:07:09 GMT 2022","4","apps.home.tests_vkr.basic_functionality","test_random_floats","","","","test_random_floats[10000-1000]",""
"passed","Wed May 18 17:08:05 GMT 2022","Wed May 18 17:08:05 GMT 2022","2","apps.home.tests_vkr.core","test_agregate","","","","test_agregate[8000-24.05.2010-25.11.2010]",""
"passed","Wed May 18 17:05:14 GMT 2022","Wed May 18 17:05:14 GMT 2022","33","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-1400-44.78-25.10.2010-30.12.2010]",""
"passed","Wed May 18 17:08:06 GMT 2022","Wed May 18 17:08:06 GMT 2022","1","apps.home.tests_vkr.core","test_agregate","","","","test_agregate[3000-24.05.2010-25.11.2010]",""
"passed","Wed May 18 17:05:19 GMT 2022","Wed May 18 17:05:20 GMT 2022","283","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[2-01.10.2010-25.11.2010]",""
"passed","Wed May 18 17:05:12 GMT 2022","Wed May 18 17:05:12 GMT 2022","179","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-8998-2-30.10.2010-30.11.2010]",""
"passed","Wed May 18 17:05:12 GMT 2022","Wed May 18 17:05:13 GMT 2022","201","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-8998-1.5-30.10.2010-30.11.2010]",""
"passed","Wed May 18 17:06:56 GMT 2022","Wed May 18 17:06:57 GMT 2022","297","apps.home.tests_vkr.generator","test_trivial_crm","","","","test_trivial_crm[10-25.05.2010-01.01.2022]",""
"passed","Wed May 18 17:05:03 GMT 2022","Wed May 18 17:05:03 GMT 2022","28","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[1200-24.05.2010-01.01.2022]",""
"passed","Wed May 18 17:05:04 GMT 2022","Wed May 18 17:05:04 GMT 2022","52","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[3000-01.01.2000-01.01.2022]",""
"passed","Wed May 18 17:05:17 GMT 2022","Wed May 18 17:05:17 GMT 2022","338","apps.home.tests_vkr.generator","test_dummy_campaign_crm","","","","test_dummy_campaign_crm[1-01.10.2010-01.01.2022]",""
"passed","Wed May 18 17:05:14 GMT 2022","Wed May 18 17:05:14 GMT 2022","49","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-1400-7777-30.10.2010-30.12.2010]",""
"passed","Wed May 18 17:05:16 GMT 2022","Wed May 18 17:05:16 GMT 2022","109","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-5432-44.78-30.10.2010-30.12.2010]",""
"passed","Wed May 18 17:06:40 GMT 2022","Wed May 18 17:06:41 GMT 2022","1262","apps.home.tests_vkr.generator","test_trivial_crm","","","","test_trivial_crm[40-24.05.2010-01.01.2022]",""
"passed","Wed May 18 17:05:06 GMT 2022","Wed May 18 17:05:06 GMT 2022","244","apps.home.tests_vkr.generator","test_conformity","","","","test_conformity[yandex-Test campain-9999-7777-25.10.2010-30.11.2010]",""
"passed","Wed May 18 17:06:55 GMT 2022","Wed May 18 17:06:56 GMT 2022","1140","apps.home.tests_vkr.generator","test_trivial_crm","","","","test_trivial_crm[20-01.01.2000-01.01.2022]",""
"passed","Wed May 18 17:08:07 GMT 2022","Wed May 18 17:08:07 GMT 2022","51","apps.home.tests_vkr.core","test_agregate","","","","test_agregate[1-01.01.2000-01.01.2022]",""
"passed","Wed May 18 17:09:36 GMT 2022","Wed May 18 17:09:36 GMT 2022","44","apps.home.tests_vkr.core","test_slyce_by_day","","","","test_slyce_by_day[1200-24.05.2010-01.01.2022]",""
"passed","Wed May 18 17:05:05 GMT 2022","Wed May 18 17:05:05 GMT 2022","28","apps.home.tests_vkr.generator","test_adv_creator","","","","test_create_adv_campaign[123-24.05.2010-01.01.2022]",""
